"concept01"	"concept02"	"logical"	"textual"
"HP:0030387"	"HP:0030388"	"f"	"t"
"HP:0011512"	"HP:0007894"	"f"	"t"
"HP:0000953"	"HP:0001010"	"f"	"t"
"HP:0001034"	"HP:0009719"	"f"	"t"
"HP:0012559"	"HP:0012560"	"f"	"t"
"HP:0002907"	"HP:0012587"	"f"	"t"
"HP:0000455"	"HP:0011832"	"f"	"t"
"HP:0008593"	"HP:0011251"	"f"	"t"
"HP:0012214"	"HP:0012213"	"f"	"t"
"HP:0007338"	"HP:0000571"	"f"	"t"
"HP:0005506"	"HP:0004808"	"f"	"t"
"HP:0011819"	"HP:0000176"	"f"	"t"
"HP:0000179"	"HP:0010282"	"f"	"t"
"HP:0002057"	"HP:0011222"	"f"	"t"
"HP:0011010"	"HP:0011009"	"f"	"t"
"HP:0030375"	"HP:0030374"	"f"	"t"
"HP:0030634"	"HP:0030633"	"f"	"t"
"HP:0025250"	"HP:0025251"	"f"	"t"
"HP:0000400"	"HP:0008551"	"f"	"t"
"HP:0011899"	"HP:0011900"	"f"	"t"
"HP:0012370"	"HP:0010669"	"f"	"t"
"HP:0012771"	"HP:0012770"	"f"	"t"
"HP:0001500"	"HP:0001238"	"f"	"t"
"HP:0007765"	"HP:0000594"	"f"	"t"
"HP:0001757"	"HP:0008573"	"f"	"t"
"HP:0006288"	"HP:0000684"	"f"	"t"
"HP:0030852"	"HP:0030851"	"f"	"t"
"HP:0011247"	"HP:0011246"	"f"	"t"
"HP:0005484"	"HP:0005490"	"f"	"t"
"HP:0002002"	"HP:0000319"	"f"	"t"
"HP:0030143"	"HP:0030144"	"f"	"t"
"HP:0012471"	"HP:0000233"	"f"	"t"
"HP:0040194"	"HP:0000252"	"f"	"t"
"HP:0012774"	"HP:0012773"	"f"	"t"
"HP:0005558"	"HP:0002488"	"f"	"t"
"HP:0004488"	"HP:0011451"	"f"	"t"
"HP:0000599"	"HP:0030141"	"f"	"t"
"HP:0005274"	"HP:0005278"	"f"	"t"
"HP:0025090"	"HP:0025129"	"f"	"t"
"HP:0012807"	"HP:0010763"	"f"	"t"
"HP:0003141"	"HP:0003563"	"f"	"t"
"HP:0100736"	"HP:0100737"	"f"	"t"
"HP:0012892"	"HP:0004660"	"f"	"t"
"HP:0030890"	"HP:0007103"	"f"	"t"
"HP:0030385"	"HP:0030384"	"f"	"t"
"HP:0030631"	"HP:0030632"	"f"	"t"
"HP:0001945"	"HP:0002045"	"f"	"t"
"HP:0000289"	"HP:0011829"	"f"	"t"
"HP:0011432"	"HP:0010570"	"f"	"t"
"HP:0001276"	"HP:0001290"	"f"	"t"
"HP:0100626"	"HP:0006554"	"f"	"t"
"HP:0025158"	"HP:0025159"	"f"	"t"
"HP:0005585"	"HP:0005590"	"f"	"t"
"HP:0001413"	"HP:0006577"	"f"	"t"
"HP:0012891"	"HP:0002162"	"f"	"t"
"HP:0030371"	"HP:0030372"	"f"	"t"
"HP:0008232"	"HP:0030341"	"f"	"t"
"HP:0007572"	"HP:0007535"	"f"	"t"
"HP:0009890"	"HP:0000294"	"f"	"t"
"HP:0008221"	"HP:0000835"	"f"	"t"
"HP:0010860"	"HP:0010861"	"f"	"t"
"HP:0100818"	"HP:0010306"	"f"	"t"
"HP:0025139"	"HP:0025140"	"f"	"t"
"HP:0003712"	"HP:0003202"	"f"	"t"
"HP:0004554"	"HP:0004528"	"f"	"t"
"HP:0000975"	"HP:0000966"	"f"	"t"
"HP:0004469"	"HP:0012388"	"f"	"t"
"HP:0012081"	"HP:0001321"	"f"	"t"
"HP:0002714"	"HP:0010805"	"f"	"t"
"HP:0006191"	"HP:0006184"	"f"	"t"
"HP:0000105"	"HP:0000089"	"f"	"t"
"HP:0004821"	"HP:0011447"	"f"	"t"
"HP:0025303"	"HP:0003745"	"f"	"t"
"HP:0030640"	"HP:0030641"	"f"	"t"
"HP:0030688"	"HP:0030689"	"f"	"t"
"HP:0012466"	"HP:0012467"	"f"	"t"
"HP:0012339"	"HP:0012340"	"f"	"t"
"HP:0000256"	"HP:0000252"	"f"	"t"
"HP:0100625"	"HP:0005257"	"f"	"t"
"HP:0100553"	"HP:0200053"	"f"	"t"
"HP:0000260"	"HP:0000237"	"f"	"t"
"HP:0012748"	"HP:0012749"	"f"	"t"
"HP:0003387"	"HP:0007249"	"f"	"t"
"HP:0002516"	"HP:0012641"	"f"	"t"
"HP:0006155"	"HP:0009803"	"f"	"t"
"HP:0012857"	"HP:0012858"	"f"	"t"
"HP:0001935"	"HP:0001972"	"f"	"t"
"HP:0012357"	"HP:0012356"	"f"	"t"
"HP:0030608"	"HP:0030607"	"f"	"t"
"HP:0008665"	"HP:0000060"	"f"	"t"
"HP:0011998"	"HP:0012051"	"f"	"t"
"HP:0030381"	"HP:0030380"	"f"	"t"
"HP:0030796"	"HP:0030795"	"f"	"t"
"HP:0011383"	"HP:0011382"	"f"	"t"
"HP:0012416"	"HP:0012417"	"f"	"t"
"HP:0003085"	"HP:0003038"	"f"	"t"
"HP:0002395"	"HP:0002600"	"f"	"t"
"HP:0030618"	"HP:0030619"	"f"	"t"
"HP:0002761"	"HP:0001376"	"f"	"t"
"HP:0002152"	"HP:0003075"	"f"	"t"
"HP:0001657"	"HP:0012232"	"f"	"t"
"HP:0000494"	"HP:0000582"	"f"	"t"
"HP:0003774"	"HP:0001919"	"f"	"t"
"HP:0030686"	"HP:0030685"	"f"	"t"
"HP:0100554"	"HP:0100558"	"f"	"t"
"HP:0025134"	"HP:0008214"	"f"	"t"
"HP:0000389"	"HP:0000371"	"f"	"t"
"HP:0011120"	"HP:0000444"	"f"	"t"
"HP:0045050"	"HP:0045051"	"f"	"t"
"HP:0009746"	"HP:0009936"	"f"	"t"
"HP:0009931"	"HP:0009933"	"f"	"t"
"HP:0012351"	"HP:0012350"	"f"	"t"
"HP:0011776"	"HP:0011775"	"f"	"t"
"HP:0000448"	"HP:0009924"	"f"	"t"
"HP:0100874"	"HP:0002213"	"f"	"t"
"HP:0100785"	"HP:0030050"	"f"	"t"
"HP:0030019"	"HP:0030018"	"f"	"t"
"HP:0001611"	"HP:0100271"	"f"	"t"
"HP:0003189"	"HP:0003196"	"f"	"t"
"HP:0009085"	"HP:0006329"	"f"	"t"
"HP:0025136"	"HP:0025137"	"f"	"t"
"HP:0012354"	"HP:0012353"	"f"	"t"
"HP:0012341"	"HP:0012342"	"f"	"t"
"HP:0012450"	"HP:0012451"	"f"	"t"
"HP:0008258"	"HP:0008244"	"f"	"t"
"HP:0000637"	"HP:0045025"	"f"	"t"
"HP:0011231"	"HP:0000653"	"f"	"t"
"HP:0008818"	"HP:0002866"	"f"	"t"
"HP:0012248"	"HP:0005165"	"f"	"t"
"HP:0004966"	"HP:0012458"	"f"	"t"
"HP:0001722"	"HP:0009805"	"f"	"t"
"HP:0003988"	"HP:0003022"	"f"	"t"
"HP:0011109"	"HP:0000255"	"f"	"t"
"HP:0009926"	"HP:0000633"	"f"	"t"
"HP:0012692"	"HP:0012691"	"f"	"t"
"HP:0100963"	"HP:0003474"	"f"	"t"
"HP:0010620"	"HP:0000272"	"f"	"t"
"HP:0012325"	"HP:0004820"	"f"	"t"
"HP:0100281"	"HP:0100282"	"f"	"t"
"HP:0030258"	"HP:0030259"	"f"	"t"
"HP:0100770"	"HP:0100771"	"f"	"t"
"HP:0010519"	"HP:0001558"	"f"	"t"
"HP:0004851"	"HP:0004826"	"f"	"t"
"HP:0040178"	"HP:0040179"	"f"	"t"
"HP:0005272"	"HP:0010801"	"f"	"t"
"HP:0030639"	"HP:0030638"	"f"	"t"
"HP:0100878"	"HP:0000013"	"f"	"t"
"HP:0001414"	"HP:0001403"	"f"	"t"
"HP:0005571"	"HP:0000117"	"f"	"t"
"HP:0000215"	"HP:0000219"	"f"	"t"
"HP:0001769"	"HP:0001786"	"f"	"t"
"HP:0004743"	"HP:0004729"	"f"	"t"
"HP:0005458"	"HP:0001476"	"f"	"t"
"HP:0004237"	"HP:0001498"	"f"	"t"
"HP:0000815"	"HP:0000044"	"f"	"t"
"HP:0200123"	"HP:0200119"	"f"	"t"
"HP:0012810"	"HP:0012809"	"f"	"t"
"HP:0001520"	"HP:0001518"	"f"	"t"
"HP:0011174"	"HP:0011173"	"f"	"t"
"HP:0012755"	"HP:0002365"	"f"	"t"
"HP:0012251"	"HP:0012250"	"f"	"t"
"HP:0005550"	"HP:0006721"	"f"	"t"
"HP:0007183"	"HP:0012752"	"f"	"t"
"HP:0001833"	"HP:0001773"	"f"	"t"
"HP:0025075"	"HP:0025077"	"f"	"t"
"HP:0003676"	"HP:0003680"	"f"	"t"
"HP:0012371"	"HP:0011800"	"f"	"t"
"HP:0011105"	"HP:0011106"	"f"	"t"
"HP:0011238"	"HP:0011239"	"f"	"t"
"HP:0003565"	"HP:0025022"	"f"	"t"
"HP:0000431"	"HP:0000446"	"f"	"t"
"HP:0030269"	"HP:0030353"	"f"	"t"
"HP:0011271"	"HP:0011272"	"f"	"t"
"HP:0000053"	"HP:0008734"	"f"	"t"
"HP:0030377"	"HP:0030378"	"f"	"t"
"HP:0000336"	"HP:0009891"	"f"	"t"
"HP:0005145"	"HP:0030882"	"f"	"t"
"HP:0003371"	"HP:0003090"	"f"	"t"
"HP:0005520"	"HP:0011880"	"f"	"t"
"HP:0000185"	"HP:0410005"	"f"	"t"
"HP:0002487"	"HP:0002375"	"f"	"t"
"HP:0007074"	"HP:0002079"	"f"	"t"
"HP:0005518"	"HP:0025066"	"f"	"t"
"HP:0011433"	"HP:0011434"	"f"	"t"
"HP:0001837"	"HP:0011308"	"f"	"t"
"HP:0012811"	"HP:0000418"	"f"	"t"
"HP:0030255"	"HP:0030256"	"f"	"t"
"HP:0011285"	"HP:0011284"	"f"	"t"
"HP:0030360"	"HP:0030357"	"f"	"t"
"HP:0006280"	"HP:0001735"	"f"	"t"
"HP:0010545"	"HP:0011477"	"f"	"t"
"HP:0012882"	"HP:0000059"	"f"	"t"
"HP:0000040"	"HP:0000054"	"f"	"t"
"HP:0030891"	"HP:0012794"	"f"	"t"
"HP:0000426"	"HP:0005280"	"f"	"t"
"HP:0000347"	"HP:0000303"	"f"	"t"
"HP:0012361"	"HP:0012360"	"f"	"t"
"HP:0000287"	"HP:0000292"	"f"	"t"
"HP:0000637"	"HP:0000581"	"f"	"t"
"HP:0009748"	"HP:0000385"	"f"	"t"
